skill_name,skill_group
Sales Pitching,Sales
Negotiation,Sales
Relationship Building,Sales
Closing Deals,Sales
Customer Relationship Management (CRM),Sales
Sales Prospecting,Sales
Lead Generation,Sales
Sales Presentations,Sales
Customer Needs Assessment,Sales
Consultative Selling,Sales
Sales Prospecting,Sales
Lead Generation,Sales
Cold Calling,Sales
Sales Pitching,Sales
Relationship Building,Sales
Consultative Selling,Sales
Closing Deals,Sales
Negotiation,Sales
Active Listening,Sales
Objection Handling,Sales
Customer Needs Assessment,Sales
Solution Selling,Sales
Sales Presentations,Sales
Persuasion,Sales
Cross-Selling,Sales
Upselling,Sales
Relationship Management,Sales
Account Management,Sales
Customer Retention,Sales
Sales Forecasting,Sales
Pipeline Management,Sales
Territory Management,Sales
Client Onboarding,Sales
Follow-up and Follow-through,Sales
Sales Metrics Tracking,Sales
Sales Training and Coaching,Sales
Sales Performance Evaluation,Sales
Sales Target Setting,Sales
Client Relationship Building,Sales
Sales Strategy Development,Sales
Lead Nurturing,Sales
Customer Acquisition,Sales
Sales Closing Techniques,Sales
Customer Consultation,Sales
Client Needs Analysis,Sales
Sales Cycle Management,Sales
Sales Territory Expansion,Sales
Referral Selling,Sales
Relationship Selling,Sales
Sales Force Automation,Sales
Sales Team Management,Sales
Sales Forecast Analysis,Sales
Sales Goal Setting,Sales
Account Planning,Sales
Client Engagement Strategies,Sales
Sales Data Analysis,Sales
Competitive Selling,Sales
Relationship Development,Sales
Value-Based Selling,Sales
Sales Negotiation Strategies,Sales
Customer Profiling,Sales
Sales Pipeline Analysis,Sales
Solution-Oriented Selling,Sales
Sales Reporting,Sales
Lead Qualification,Sales
Consultative Approach to Sales,Sales
Negotiations,Sales
Closing Techniques and Tactics,Sales
Building Trust with Customers,Sales
Sales Follow-up Strategies,Sales
Sales Performance Tracking,Sales
Sales Cycle Analysis,Sales
Relationship Building with Key Accounts,Sales
CRM (Customer Relationship Management) Usage,Sales
Sales Target Achievement,Sales
Sales Communication Skills,Sales
Customer Needs Identification,Sales
Cross-Functional Collaboration for Sales Success,Sales
Sales Enablement Strategies,Sales
Identifying Sales Opportunities,Sales
Customer Retention Strategies,Sales
Analyzing Sales Data and Trends,Sales
Sales Forecasting Models,Sales
Time Management for Sales Professionals,Sales
Building Rapport with Clients,Sales
Sales Incentive Programs,Sales
Product Knowledge for Effective Selling,Sales
Networking and Relationship Building for Sales,Sales
Sales Territory Analysis,Sales
Sales Presentation Skills,Sales
Sales Follow-up and After-Sales Support,Sales
Client Relationship Management (CRM) Software Proficiency,Sales
Sales Funnel Management,Sales
Handling Sales Objections,Sales
Sales Target Setting and Monitoring,Sales
Customer Relationship Building Strategies,Sales
Sales Closing Techniques,Sales
Consultative Selling Approach,Sales
Account-Based Selling,Sales
Sales Performance Evaluation Metrics,Sales
Handling Difficult Customers,Sales
Building and Maintaining a Sales Pipeline,Sales
Sales Negotiation Tactics,Sales
Customer Relationship Development,Sales
Sales Strategy and Planning,Sales
Sales Process Optimization,Sales
Identifying Cross-Selling and Upselling Opportunities,Sales
Managing Sales Leads and Opportunities,Sales
Customer Needs Assessment and Analysis,Sales
Sales Collateral Creation and Usage,Sales
Customer Engagement and Satisfaction Strategies,Sales
Verbal Communication,Communication
Networking,Communication
Written Communication,Communication
Active Listening,Communication
Public Speaking,Communication
Presentation Skills,Communication
Persuasive Communication,Communication
Storytelling,Communication
Empathy,Communication
Clarity in Expression,Communication
Conflict Resolution,Communication
Negotiation Skills,Communication
Non-Verbal Communication,Communication
Building Rapport,Communication
Emotional Intelligence,Communication
Cross-Cultural Communication,Communication
Interpersonal Skills,Communication
Body Language Interpretation,Communication
Articulation,Communication
Diplomacy,Communication
Feedback and Constructive Criticism,Communication
Telephone Etiquette,Communication
Email Etiquette,Communication
Communicating with Empathy and Sensitivity,Communication
Active Engagement in Conversations,Communication
Building Trust through Communication,Communication
Conflict Management,Communication
Questioning and Probing Skills,Communication
Networking and Relationship Building,Communication
Verbal Fluency,Communication
Paraphrasing and Summarizing,Communication
Storyboarding and Visual Communication,Communication
Tailoring Communication for Different Audiences,Communication
Adaptability in Communication Style,Communication
Cross-Functional Collaboration and Communication,Communication
Addressing Large Audiences,Communication
Giving and Receiving Feedback Effectively,Communication
"Listening to Understand, Not Just Respond",Communication
Communicating Complex Ideas Simply,Communication
Cultural Awareness in Communication,Communication
Clear and Concise Messaging,Communication
Building Consensus and Alignment through Communication,Communication
Building and Maintaining Professional Relationships,Communication
Conflict Resolution and Mediation,Communication
Positive Reinforcement in Communication,Communication
Persuasion and Influencing Skills,Communication
Crisis Communication,Communication
Handling Difficult Conversations,Communication
